VENDOR NAME,VENDOR TYPE,PAYMENT TERMS,VENDOR CODE,TIN,DEPT_CODE,BUSINESS TYPE
LINKAGE FOODS VENTURE CORPORATION,OUTRIGHT,60 DAYS,120916,005680108000,80,CORPORATION
AGSAM FASHION FERN ACCESSORIES,OUTRIGHT,N/A,260310,104578905001,33,SOLE PROPRIETORSHIP
LA FONSAS FOODS CORPORATION,STORE CONSIGNOR,IMMEDIATE,124165,009599342000,80,CORPORATION
JB MUSIC & SPORTS INCORPORATED,STORE CONSIGNOR,IMMEDIATE,104134,002563636010,52,CORPORATION
SHAMROCK BAKERY & RESTAURANT CORP,STORE CONSIGNOR,IMMEDIATE,194121,000312274,80,CORPORATION
GOPIS ENTERPRISES,OUTRIGHT,60 DAYS,070483,100063322000,33|68,SOLE PROPRIETORSHIP
VS GLOBAL SALES AND MARKETING INC,OUTRIGHT,30 DAYS,220150,008289586000,20,CORPORATION
2NDGEN MANUFACTURING CORPORATION,OUTRIGHT,60 DAYS,150594,008426662000,11|13|17|19|20|73,CORPORATION
BABYLAN'S COCO CRAFT,OUTRIGHT,COD LESS 5%,020487,285345696000,33,SOLE PROPRIETORSHIP
CASCO AUTO PARTS SUPPLY,STORE CONSIGNOR,IMMEDIATE,034275,100422210000,50,SOLE PROPRIETORSHIP
CHILONIA FABRICA,OUTRIGHT,COD LESS 5%,170378,314311670000,33|82,SOLE PROPRIETORSHIP
DOUBLE L BEAUTY PRODUCTS,STORE CONSIGNOR,IMMEDIATE,044142,100082463004,92,SOLE PROPRIETORSHIP
GOLDEN CHILD MARKETING,OUTRIGHT,60 DAYS,070537,138586296000,25,SOLE PROPRIETORSHIP
RAL-VIN MARKETING,OUTRIGHT,60 DAYS,180444,259642389000,37,SOLE PROPRIETORSHIP
TOM'S HANDICRAFTS,OUTRIGHT,60 DAYS,200476,202827039000,33|82,SOLE PROPRIETORSHIP
